
Host: ed2

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000213w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.056440w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00762200w      1 call
HF: Form S/X:       0.00u       0.00s 0.00007100w      1 call
HF: Guess   :       0.06u       0.00s 0.05690000w      1 call
SAD Guess   :       0.05u       0.00s 0.05129400w      1 call
JK: D       :       0.01u       0.01s   0.013918w  25010 calls
JK: USO2AO  :       0.00u       0.02s   0.022570w  25010 calls
JK: JK      :       0.24u       0.13s   0.461293w  25010 calls
JK: J       :       0.04u       0.02s   0.076426w  25010 calls
JK: J1      :       0.01u       0.00s   0.027057w  50017 calls
JK: J2      :       0.02u       0.01s   0.021497w  50017 calls
JK: K       :       0.08u       0.07s   0.185562w  25010 calls
JK: K1      :       0.07u       0.04s   0.119831w  75020 calls
JK: K2      :       0.01u       0.01s   0.026870w  50015 calls
JK: AO2USO  :       0.00u       0.00s   0.006616w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001614w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000055w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000025w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000019w      3 calls
HF: Form G  :       0.00u       0.00s   0.000080w      3 calls
HF: Form F  :       0.00u       0.00s   0.000006w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001647w      3 calls
HF: Form C  :       0.00u       0.00s   0.000045w      3 calls
HF: Form D  :       0.00u       0.00s   0.000000w      3 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 19:12:32 2017
Timers Off: Tue Mar 28 19:12:55 2017

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000213w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.057171w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000022w      3 calls
HF: Form H  :       0.00u       0.00s 0.00789000w      1 call
HF: Form S/X:       0.00u       0.00s 0.00008900w      1 call
HF: Guess   :       0.06u       0.00s 0.05983500w      1 call
SAD Guess   :       0.05u       0.00s 0.05238400w      1 call
JK: D       :       0.00u       0.01s   0.013910w  25010 calls
JK: USO2AO  :       0.00u       0.00s   0.023331w  25010 calls
JK: JK      :       0.20u       0.10s   0.459440w  25010 calls
JK: J       :       0.04u       0.03s   0.075377w  25010 calls
JK: J1      :       0.00u       0.00s   0.026189w  50017 calls
JK: J2      :       0.02u       0.03s   0.021087w  50017 calls
JK: K       :       0.03u       0.02s   0.185692w  25010 calls
JK: K1      :       0.01u       0.01s   0.118738w  75020 calls
JK: K2      :       0.01u       0.00s   0.027467w  50015 calls
JK: AO2USO  :       0.01u       0.01s   0.006538w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001457w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000055w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000024w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000018w      3 calls
HF: Form G  :       0.00u       0.00s   0.000093w      3 calls
HF: Form F  :       0.00u       0.00s   0.000006w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001491w      3 calls
HF: Form C  :       0.00u       0.00s   0.000045w      3 calls
HF: Form D  :       0.00u       0.00s   0.000001w      3 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 19:22:19 2017
Timers Off: Tue Mar 28 19:22:43 2017

Wall Time:       24.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000239w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.057480w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.23791200w      1 call
HF: Form S/X:       0.00u       0.00s 0.00012400w      1 call
HF: Guess   :       0.07u       0.00s 0.06453900w      1 call
SAD Guess   :       0.06u       0.00s 0.05635500w      1 call
JK: D       :       0.00u       0.00s   0.012897w  25010 calls
JK: USO2AO  :       0.00u       0.00s   0.024398w  25010 calls
JK: JK      :       0.08u       0.11s   0.462334w  25010 calls
JK: J       :       0.00u       0.05s   0.075306w  25010 calls
JK: J1      :       0.00u       0.02s   0.026648w  50017 calls
JK: J2      :       0.00u       0.01s   0.021614w  50017 calls
JK: K       :       0.04u       0.02s   0.187990w  25010 calls
JK: K1      :       0.02u       0.01s   0.121388w  75020 calls
JK: K2      :       0.02u       0.00s   0.027517w  50015 calls
JK: AO2USO  :       0.01u       0.00s   0.006224w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001735w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000055w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000006w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000025w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000019w      3 calls
HF: Form G  :       0.00u       0.00s   0.000082w      3 calls
HF: Form F  :       0.00u       0.00s   0.000005w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001768w      3 calls
HF: Form C  :       0.00u       0.00s   0.000047w      3 calls
HF: Form D  :       0.00u       0.00s   0.000001w      3 calls

***********************************************************

Host: ed2

Timers On : Tue Mar 28 19:31:38 2017
Timers Off: Tue Mar 28 19:32:01 2017

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000178w      3 calls
JK: (A|Q)^-1/2:       0.05u       0.00s   0.055148w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00748800w      1 call
HF: Form S/X:       0.00u       0.00s 0.00008900w      1 call
HF: Guess   :       0.06u       0.00s 0.05662700w      1 call
SAD Guess   :       0.05u       0.00s 0.04861600w      1 call
JK: D       :       0.01u       0.00s   0.012314w  25010 calls
JK: USO2AO  :       0.03u       0.01s   0.022358w  25010 calls
JK: JK      :       0.24u       0.02s   0.439838w  25010 calls
JK: J       :       0.03u       0.00s   0.072050w  25010 calls
JK: J1      :       0.02u       0.00s   0.025358w  50017 calls
JK: J2      :       0.01u       0.00s   0.020302w  50017 calls
JK: K       :       0.13u       0.01s   0.178150w  25010 calls
JK: K1      :       0.10u       0.00s   0.113713w  75020 calls
JK: K2      :       0.02u       0.01s   0.026687w  50015 calls
JK: AO2USO  :       0.00u       0.00s   0.006831w  25010 calls
DIISManager::add_entry:       0.00u       0.00s   0.001710w      4 calls
DIISManager::extrapolate:       0.00u       0.00s   0.000048w      3 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000005w      3 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000022w      3 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000013w      3 calls
HF: Form G  :       0.00u       0.00s   0.000079w      3 calls
HF: Form F  :       0.00u       0.00s   0.000005w      3 calls
HF: DIIS    :       0.00u       0.00s   0.001740w      3 calls
HF: Form C  :       0.00u       0.00s   0.000054w      3 calls
HF: Form D  :       0.00u       0.00s   0.000002w      3 calls

***********************************************************

Host: ed2

Timers On : Wed Mar 29 13:10:37 2017
Timers Off: Wed Mar 29 13:11:00 2017

Wall Time:       23.00 seconds

JK: (A|mn)  :       0.00u       0.00s   0.000222w      3 calls
JK: (A|Q)^-1/2:       0.06u       0.00s   0.057882w      3 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000021w      3 calls
HF: Form H  :       0.00u       0.00s 0.00737700w      1 call
HF: Form S/X:       0.00u       0.00s 0.00008500w      1 call
HF: Guess   :       0.05u       0.00s 0.05463500w      1 call
SAD Guess   :       0.05u       0.00s 0.04902900w      1 call
JK: D       :       0.01u       0.00s   0.013576w  25010 calls
JK: USO2AO  :       0.03u       0.01s   0.022834w  25010 calls
JK: JK      :       0.25u       0.13s   0.455956w  25010 calls
JK: J       :       0.06u       0.03s   0.075533w  25010 calls
JK: J1      :       0.01u       0.00s   0.026498w  50017 calls
JK: J2      :       0.01u       0.02s   0.021400w  50017 calls
